scenario_name,tracking_error_target,frontier_mode,optimization_method,solver_success,ex_post_ic,alpha_over_ic_dispersion,realized_return_over_sigma_dispersion,transfer_coefficient,risk_weighted_transfer_coefficient,active_return,active_risk,realized_tracking_error,information_ratio,theoretical_information_ratio,trial_id,run_key
combined_constraints,,,cvxportfolio_policy_execute,True,0.2221291041506536,0.012712783840586925,0.8209560216201681,0.6397357842530129,0.6313076705565878,8.352590682030001e-08,1.8340062237495784e-07,1.8340062237495784e-07,0.4554286988706802,0.44345191148301627,9,combined_constraints
unconstrained,,,cvxportfolio_policy_execute,True,0.09967462761746898,0.06087319965675505,0.9146841506382183,,,2.1987351233627917e-19,2.608433196811142e-19,2.608433196811142e-19,,,10,unconstrained
long_only,,,cvxportfolio_policy_execute,True,0.09967462761746898,0.06087319965675505,0.9146841506382183,0.0225814332072027,0.022233918575445422,1.507884954850858e-06,1.9757352635602256e-06,1.9757352635602256e-06,0.7632019241959,0.007008105525960194,10,long_only
long_only_max_weight,,,cvxportfolio_policy_execute,True,0.09967462761746898,0.06087319965675505,0.9146841506382183,,,2.1980420952560753e-19,2.607693464488162e-19,2.607693464488162e-19,,,10,long_only_max_weight
turnover_limited,,,cvxportfolio_policy_execute,True,0.09967462761746898,0.06087319965675505,0.9146841506382183,0.3910505790884763,0.3887774693694386,1.9464106424099575e-07,2.590231057583818e-07,2.590231057583818e-07,0.7514428632577591,0.12254221055148391,10,turnover_limited
combined_constraints,,,cvxportfolio_policy_execute,True,0.09967462761746898,0.06087319965675505,0.9146841506382183,0.43881656394765106,0.43626508150454263,1.0689971625205516e-08,1.494560851610027e-08,1.494560851610027e-08,0.7152583726309747,0.13751025120025245,10,combined_constraints
unconstrained,,,cvxportfolio_policy_execute,True,0.055407122928741025,0.059230956597558976,0.9916358212647765,,,7.50825869545565e-20,1.8666082674241463e-19,1.8666082674241463e-19,,,11,unconstrained
long_only,,,cvxportfolio_policy_execute,True,0.055407122928741025,0.059230956597558976,0.9916358212647765,,,7.505173570316543e-20,1.8669741441940983e-19,1.8669741441940983e-19,,,11,long_only
long_only_max_weight,,,cvxportfolio_policy_execute,True,0.055407122928741025,0.059230956597558976,0.9916358212647765,,,7.505173570316543e-20,1.8669741441940983e-19,1.8669741441940983e-19,,,11,long_only_max_weight
turnover_limited,,,cvxportfolio_policy_execute,True,0.055407122928741025,0.059230956597558976,0.9916358212647765,,,7.504838261706646e-20,1.8655529138825147e-19,1.8655529138825147e-19,,,11,turnover_limited
combined_constraints,,,cvxportfolio_policy_execute,True,0.055407122928741025,0.059230956597558976,0.9916358212647765,,,7.504838261706646e-20,1.8655529138825147e-19,1.8655529138825147e-19,,,11,combined_constraints
unconstrained,,,cvxportfolio_policy_execute,True,-0.061576437891256955,0.0811824120228415,1.2255228805114702,,,-6.010480998215202e-20,9.773548950563214e-20,9.773548950563214e-20,,,12,unconstrained
long_only,,,cvxportfolio_policy_execute,True,-0.061576437891256955,0.0811824120228415,1.2255228805114702,,,-6.009429623475633e-20,9.772012136516954e-20,9.772012136516954e-20,,,12,long_only
long_only_max_weight,,,cvxportfolio_policy_execute,True,-0.061576437891256955,0.0811824120228415,1.2255228805114702,,,-6.009429623475633e-20,9.772012136516954e-20,9.772012136516954e-20,,,12,long_only_max_weight
turnover_limited,,,cvxportfolio_policy_execute,True,-0.061576437891256955,0.0811824120228415,1.2255228805114702,-0.486710975294127,-0.45589936079216664,2.0890846221952393e-07,3.7434562319981207e-07,3.7434562319981207e-07,0.5580630552958707,0.08877354138784839,12,turnover_limited
combined_constraints,,,cvxportfolio_policy_execute,True,-0.061576437891256955,0.0811824120228415,1.2255228805114702,-0.5329614357711622,-0.4992219005779963,4.212132930278312e-08,7.576930854794383e-07,7.576930854794383e-07,0.05559154505960736,0.09720938405282045,12,combined_constraints
unconstrained,,,cvxportfolio_policy_execute,True,-0.2287052857481972,0.016432114474060254,1.2018725986616206,,,-2.1048011411267757e-18,7.789455460299966e-19,7.789455460299966e-19,,,13,unconstrained
long_only,,,cvxportfolio_policy_execute,True,-0.2287052857481972,0.016432114474060254,1.2018725986616206,,,-2.1036988212719127e-18,7.785524132324275e-19,7.785524132324275e-19,,,13,long_only
long_only_max_weight,,,cvxportfolio_policy_execute,True,-0.2287052857481972,0.016432114474060254,1.2018725986616206,,,-2.1036988212719127e-18,7.785524132324275e-19,7.785524132324275e-19,,,13,long_only_max_weight
turnover_limited,,,cvxportfolio_policy_execute,True,-0.2287052857481972,0.016432114474060254,1.2018725986616206,,,-2.1030286030434626e-18,7.782937072713785e-19,7.782937072713785e-19,,,13,turnover_limited
combined_constraints,,,cvxportfolio_policy_execute,True,-0.2287052857481972,0.016432114474060254,1.2018725986616206,-0.16377008589938627,-0.16376051920933127,4.0793423994668585e-06,1.5747171660038199e-06,1.5747171660038199e-06,2.5905238651960967,0.11843645740472081,13,combined_constraints
